Geography,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Prince Edward Island,Prince Edward Island,Prince Edward Island,Nova Scotia,Nova Scotia,Nova Scotia,New Brunswick,New Brunswick,New Brunswick,Quebec,Quebec,Quebec,Ontario,Ontario,Ontario,Manitoba,Manitoba,Manitoba,Saskatchewan,Saskatchewan,Saskatchewan,Alberta,Alberta,Alberta,British Columbia,British Columbia,British Columbia,Yukon Territory,Yukon Territory,Yukon Territory,Northwest Territories,Northwest Territories,Northwest Territories,Nunavut,Nunavut,Nunavut
Gender (3) 5 6,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women
14300 Library assistants and clerks,105,0,100,40,10,35,570,100,475,370,55,315,"2,750",610,"2,140","5,660",970,"4,690",510,100,410,675,90,580,"1,930",300,"1,625","2,325",460,"1,865",30,0,25,10,0,10,0,0,0
"14301 Correspondence, publication and regulatory clerks",230,70,150,45,0,40,560,110,450,320,40,275,"4,735","1,495","3,240","7,640","2,225","5,415",680,215,460,665,150,520,"3,105",605,"2,495","2,895",710,"2,185",40,0,35,30,10,20,30,10,25
"144 Supply chain logistics, tracking and scheduling coordination occupations","2,565","1,830",735,750,595,150,"5,210","3,425","1,790","4,755","3,350","1,405","75,895","53,480","22,415","94,325","62,465","31,860","8,940","6,335","2,605","7,040","4,755","2,285","32,400","20,860","11,535","29,990","18,970","11,020",215,150,60,270,190,80,95,65,30
"1440 Supply chain logistics, tracking and scheduling coordination occupations","2,565","1,830",735,750,595,150,"5,210","3,425","1,790","4,755","3,350","1,405","75,895","53,480","22,415","94,325","62,465","31,860","8,940","6,335","2,605","7,040","4,755","2,285","32,400","20,860","11,535","29,990","18,970","11,020",215,150,60,270,190,80,95,65,30
14400 Shippers and receivers,910,750,165,350,295,55,"2,240","1,675",565,"1,920","1,505",415,"39,790","29,740","10,055","48,800","36,700","12,095","4,160","3,350",815,"2,950","2,245",705,"15,135","10,955","4,180","14,310","9,910","4,395",55,35,20,50,35,15,30,25,10
14401 Storekeepers and partspersons,790,650,135,135,115,25,"1,050",870,180,"1,200","1,025",180,"15,880","12,820","3,065","11,885","9,110","2,780","1,735","1,490",245,"2,070","1,625",440,"7,230","5,170","2,065","5,310","4,150","1,155",85,70,15,90,85,0,10,10,0
14402 Production logistics workers,70,35,35,35,20,15,175,60,110,140,70,70,"2,690","1,185","1,505","3,620","1,840","1,780",385,165,220,215,80,135,905,450,460,"1,085",515,565,25,15,0,0,0,0,0,0,0
14403 Purchasing and inventory control workers,395,240,155,120,85,30,815,465,355,655,380,275,"7,940","4,230","3,710","17,025","9,450","7,575","1,275",730,550,830,465,365,"4,310","2,165","2,145","4,715","2,345","2,370",0,0,0,25,10,10,25,20,10
14404 Dispatchers,355,140,220,110,80,30,775,280,490,745,340,410,"8,575","4,995","3,580","11,380","4,595","6,785","1,220",535,690,850,285,565,"4,330","1,895","2,440","4,005","1,825","2,180",40,15,25,85,50,35,25,10,15
14405 Transportation route and crew schedulers,45,15,30,10,0,0,160,70,85,90,30,60,"1,015",505,510,"1,615",770,845,155,60,90,125,40,80,485,235,245,565,215,350,10,10,0,20,0,10,0,0,0
2 Natural and applied sciences and related occupations,"16,165","12,580","3,585","5,255","3,855","1,405","34,275","26,140","8,130","25,575","19,945","5,635","376,995","284,830","92,160","718,405","537,175","181,235","41,015","31,450","9,565","32,115","24,340","7,775","192,305","147,700","44,610","220,820","167,105","53,710","1,725","1,200",525,"1,545","1,100",445,490,375,115
"20 Specialized middle management occupations in engineering, architecture, science and information systems","1,005",730,275,385,305,80,"2,455","1,770",685,"1,750","1,280",465,"27,430","20,375","7,050","65,230","47,260","17,965","2,410","1,850",555,"2,130","1,600",530,"14,285","10,930","3,355","17,310","12,930","4,385",75,60,10,105,75,30,55,50,10
"200 Specialized middle management occupations in engineering, architecture, science and information systems","1,005",730,275,385,305,80,"2,455","1,770",685,"1,750","1,280",465,"27,430","20,375","7,050","65,230","47,260","17,965","2,410","1,850",555,"2,130","1,600",530,"14,285","10,930","3,355","17,310","12,930","4,385",75,60,10,105,75,30,55,50,10
"2001 Managers in engineering, architecture, science and information systems","1,005",730,275,385,305,80,"2,455","1,770",685,"1,750","1,280",465,"27,430","20,375","7,050","65,230","47,260","17,965","2,410","1,850",555,"2,130","1,600",530,"14,285","10,930","3,355","17,310","12,930","4,385",75,60,10,105,75,30,55,50,10
20010 Engineering managers,410,320,95,45,40,0,745,605,145,395,315,80,"5,680","4,590","1,095","14,500","11,890","2,610",605,500,110,585,505,80,"5,460","4,490",965,"4,285","3,450",835,15,15,0,40,30,0,10,10,0
20011 Architecture and science managers,105,65,40,60,30,25,365,215,155,150,90,65,"3,715","2,170","1,545","6,805","3,540","3,270",325,165,155,340,190,150,"1,595",910,680,"2,095","1,040","1,055",20,15,10,25,10,20,10,0,10
20012 Computer and information systems managers,485,345,145,285,235,55,"1,340",950,395,"1,200",875,325,"18,030","13,620","4,405","43,920","31,830","12,090","1,475","1,185",290,"1,205",905,300,"7,235","5,525","1,710","10,930","8,435","2,495",40,35,0,50,35,10,35,30,0
21 Professional occupations in natural and applied sciences,"7,810","6,010","1,800","2,720","1,965",755,"18,680","13,895","4,785","12,330","9,360","2,975","210,745","158,525","52,220","439,790","321,740","118,050","20,680","15,185","5,490","16,305","11,695","4,605","104,845","78,795","26,045","130,370","97,450","32,925",880,555,325,825,520,300,195,125,70
211 Professional occupations in natural sciences,"1,315",770,540,575,290,285,"2,630","1,485","1,155","1,585",930,660,"21,670","10,810","10,865","36,205","18,050","18,155","3,510","1,920","1,590","3,850","2,100","1,750","15,630","9,465","6,160","17,435","10,090","7,345",310,180,120,280,145,140,80,50,30
2110 Physical science professionals,500,330,170,170,60,110,815,570,250,305,195,120,"6,865","4,105","2,760","12,325","7,210","5,115",675,340,335,770,520,245,"6,020","4,270","1,750","5,125","3,335","1,795",100,55,40,50,30,25,10,0,10
21100 Physicists and astronomers,25,15,10,0,0,0,80,50,30,30,20,0,695,550,145,"1,150",890,260,45,40,0,50,40,10,165,135,30,510,395,115,0,0,0,0,0,0,0,0,0
21101 Chemists,100,40,60,155,50,110,245,135,110,150,75,75,"4,545","2,365","2,180","7,850","4,010","3,835",390,150,235,260,135,125,"1,745","1,045",705,"1,835",885,950,0,0,0,0,0,0,0,0,0
21102 Geoscientists and oceanographers,325,235,90,10,10,0,415,320,100,105,85,20,"1,165",840,320,"2,855","2,010",840,220,135,80,435,325,110,"3,905","2,945",960,"2,555","1,880",675,100,55,40,45,30,15,10,0,10
21103 Meteorologists and climatologists,40,30,0,0,0,0,65,50,15,25,10,15,305,230,75,210,145,70,15,10,10,20,10,0,115,95,15,150,120,35,0,0,0,0,0,0,0,0,0
21109 Other professional occupations in physical sciences,0,0,0,0,0,0,15,10,0,0,0,0,160,115,40,255,155,105,10,0,10,0,0,0,90,50,40,70,55,15,0,0,0,0,0,0,0,0,0
2111 Life science professionals,465,240,225,295,170,120,"1,285",615,675,875,505,370,"11,065","4,890","6,175","16,330","7,060","9,265","2,095","1,165",935,"2,335","1,170","1,165","5,530","2,805","2,730","9,375","5,115","4,260",150,85,65,155,65,90,45,20,20
21110 Biologists and related scientists,430,205,220,220,125,100,"1,115",485,635,580,280,305,"7,395","2,585","4,810","14,340","5,620","8,720","1,240",520,720,"1,095",545,550,"3,810","1,720","2,085","6,415","2,815","3,600",130,65,65,150,65,85,35,20,20
21111 Forestry professionals,20,20,0,20,15,10,115,100,10,175,145,30,"1,510","1,260",250,700,565,140,30,30,0,50,30,20,480,325,155,"2,430","1,885",545,15,15,0,10,10,0,0,0,0
"21112 Agricultural representatives, consultants and specialists",15,15,0,50,35,15,60,25,35,125,85,40,"2,165","1,045","1,120","1,285",875,415,825,610,220,"1,190",595,600,"1,245",760,485,520,410,110,10,10,0,0,0,0,0,0,0
2112 Public and environmental health and safety professionals,350,200,150,110,60,55,530,300,225,400,230,170,"3,740","1,815","1,925","7,555","3,785","3,770",740,420,315,750,410,335,"4,080","2,395","1,685","2,935","1,640","1,285",55,40,20,80,45,30,25,20,0
21120 Public and environmental health and safety professionals,350,200,150,110,60,55,530,300,225,400,230,170,"3,740","1,815","1,925","7,555","3,785","3,770",740,420,315,750,410,335,"4,080","2,395","1,685","2,935","1,640","1,285",55,40,20,80,45,30,25,20,0
212 Professional occupations in applied sciences (except engineering),"3,245","2,460",780,"1,565","1,165",400,"10,775","7,900","2,875","7,150","5,325","1,830","132,600","100,635","31,965","296,835","213,440","83,395","11,455","8,365","3,095","7,415","5,445","1,970","48,420","35,480","12,935","80,115","59,545","20,560",385,230,160,320,185,140,95,65,30
"2120 Architects, urban planners and land surveyors",540,430,110,95,75,20,"1,130",765,360,550,385,165,"12,315","7,520","4,795","20,485","12,770","7,715","1,220",820,400,715,495,220,"5,775","3,980","1,795","8,480","5,455","3,030",145,85,60,130,50,75,45,30,15
21200 Architects,75,60,15,25,10,15,350,235,115,125,75,50,"5,855","3,135","2,715","8,790","5,650","3,140",505,330,180,160,100,55,"1,240",850,390,"3,790","2,545","1,250",30,20,10,30,15,10,0,10,0
21201 Landscape architects,20,10,10,0,0,0,35,20,10,0,0,0,575,250,325,990,525,470,80,25,55,35,20,15,190,130,60,335,185,150,0,0,0,0,0,0,0,0,0
21202 Urban and land use planners,200,140,60,35,30,0,495,275,220,295,195,100,"3,750","2,295","1,450","8,605","4,640","3,965",415,270,145,375,235,140,"3,075","1,830","1,250","3,185","1,640","1,545",60,25,30,85,25,60,40,25,10
21203 Land surveyors,240,210,30,35,35,0,245,230,15,120,110,15,"2,130","1,830",300,"2,100","1,965",135,220,200,15,150,145,10,"1,275","1,170",100,"1,170","1,085",85,50,35,15,20,10,10,0,0,0
"2121 Mathematicians, statisticians, actuaries and data scientists",75,35,40,25,0,20,405,275,130,265,175,85,"7,105","4,460","2,645","15,835","9,790","6,050",710,385,320,335,210,125,"1,940","1,255",690,"2,775","1,845",925,10,0,10,10,0,0,0,0,10
"21210 Mathematicians, statisticians and actuaries",50,15,35,15,0,15,195,100,95,120,75,40,"4,525","2,605","1,925","7,075","3,710","3,365",530,270,265,175,95,85,530,310,220,835,445,390,10,0,10,10,0,0,0,0,10
21211 Data scientists,20,20,0,15,0,10,205,170,35,145,100,40,"2,580","1,865",720,"8,765","6,075","2,685",175,115,60,155,115,45,"1,415",945,465,"1,935","1,400",535,0,0,0,0,0,0,0,0,0
2122 Computer and information systems professionals,"1,170",795,375,610,425,185,"4,180","2,830","1,355","3,040","2,120",925,"46,700","33,310","13,390","110,905","75,010","35,900","4,310","3,020","1,290","3,110","2,220",885,"21,090","14,520","6,570","21,950","14,885","7,070",160,85,70,135,90,45,35,25,10
21220 Cybersecurity specialists,80,70,10,15,15,0,335,295,45,250,195,60,"3,220","2,695",525,"8,235","6,585","1,655",330,300,30,160,130,35,"1,020",795,225,"1,410","1,120",280,0,0,0,0,0,0,0,0,0
21221 Business systems specialists,145,70,80,90,25,60,625,330,295,615,280,335,"4,450","2,615","1,835","17,860","9,730","8,135",715,380,335,430,235,195,"3,490","1,865","1,625","4,170","2,240","1,925",25,0,20,10,10,0,10,10,0
21222 Information systems specialists,745,545,200,435,315,115,"2,680","1,890",795,"1,850","1,445",410,"31,890","23,570","8,320","72,940","51,720","21,220","2,670","1,990",680,"2,170","1,650",520,"14,115","10,520","3,590","13,785","9,965","3,820",85,55,30,90,55,35,20,15,10
21223 Database analysts and data administrators,200,110,90,75,65,10,535,320,215,320,200,125,"7,140","4,430","2,710","11,865","6,975","4,890",595,355,240,340,205,135,"2,470","1,340","1,135","2,595","1,560","1,040",45,25,25,30,15,10,0,0,0
"2123 Computer, software and Web designers and developers","1,460","1,200",255,835,660,175,"5,065","4,035","1,030","3,300","2,645",655,"66,485","55,345","11,140","149,600","115,875","33,735","5,225","4,135","1,090","3,260","2,520",740,"19,605","15,725","3,880","46,900","37,365","9,540",85,60,20,50,35,10,10,10,0
21230 Computer systems developers and programmers,235,195,35,235,180,55,670,475,195,600,485,115,"18,225","15,895","2,325","17,375","13,355","4,025",875,660,210,595,430,160,"2,230","1,795",435,"3,670","2,975",690,15,0,10,0,10,0,0,0,0
21231 Software engineers and designers,220,185,40,110,85,25,"1,300","1,100",205,850,715,135,"12,225","10,470","1,760","50,800","40,830","9,970",950,755,190,600,530,75,"4,880","4,100",775,"18,605","15,375","3,235",20,10,10,0,0,0,0,0,0
21232 Software developers and programmers,670,560,105,260,225,35,"1,705","1,450",255,"1,150",955,195,"18,255","15,460","2,795","48,485","38,455","10,030","2,085","1,745",340,"1,235",990,240,"7,640","6,410","1,230","13,700","11,190","2,510",35,30,10,0,0,0,0,0,0
21233 Web designers,75,55,20,45,20,25,260,165,95,150,100,50,"2,515","1,620",890,"6,400","3,625","2,780",295,175,115,175,85,95,"1,125",615,505,"2,660","1,445","1,215",0,0,0,0,0,0,0,0,0
21234 Web developers and programmers,265,210,55,185,145,35,"1,130",850,285,545,385,160,"15,270","11,900","3,370","26,535","19,605","6,930","1,025",800,225,660,490,170,"3,735","2,805",925,"8,270","6,380","1,890",15,15,0,25,20,0,0,0,0
213 Professional occupations in engineering,"3,260","2,775",475,580,505,70,"5,270","4,510",760,"3,590","3,100",485,"56,470","47,080","9,390","106,750","90,245","16,505","5,710","4,900",810,"5,035","4,150",885,"40,795","33,840","6,950","32,825","27,810","5,020",190,150,40,220,195,25,20,15,10
2130 Civil and mechanical engineers,"1,505","1,280",225,295,270,25,"2,545","2,195",350,"2,100","1,825",265,"28,040","23,525","4,510","52,035","44,380","7,660","3,185","2,785",395,"2,750","2,295",455,"19,120","16,055","3,065","16,590","14,015","2,575",140,115,25,160,145,15,15,10,10
21300 Civil engineers,940,785,155,185,180,0,"1,675","1,415",260,"1,385","1,140",240,"14,460","11,355","3,105","26,805","21,815","4,985","1,765","1,490",280,"1,740","1,385",355,"10,435","8,410","2,030","10,170","8,365","1,800",115,100,15,100,95,10,10,10,10
21301 Mechanical engineers,565,495,70,105,90,15,870,780,90,715,680,30,"13,575","12,170","1,405","25,235","22,555","2,675","1,415","1,300",120,"1,015",910,105,"8,685","7,650","1,040","6,420","5,650",770,25,15,10,60,55,0,10,10,0
"2131 Electrical, electronics and computer engineers",550,505,45,115,110,10,"1,385","1,220",165,870,765,105,"15,600","13,840","1,760","34,880","30,405","4,470","1,510","1,335",175,"1,150",980,170,"9,145","7,905","1,230","9,365","8,285","1,080",25,25,0,30,25,0,0,0,0
21310 Electrical and electronics engineers,455,420,35,60,60,0,960,840,115,610,535,75,"9,365","8,365","1,000","20,650","17,980","2,665","1,085",935,150,895,750,145,"7,055","6,110",945,"6,710","5,950",765,20,20,0,25,15,0,0,0,0
21311 Computer engineers (except software engineers and designers),95,85,10,55,50,0,425,375,50,265,230,30,"6,230","5,475",755,"14,235","12,425","1,805",425,400,30,255,225,25,"2,090","1,800",290,"2,655","2,340",310,10,10,0,0,0,0,10,10,0
2132 Manufacturing and processing engineers,185,145,50,85,55,35,580,420,155,400,325,80,"7,230","5,305","1,925","13,325","10,005","3,325",590,440,150,555,425,130,"6,220","4,700","1,525","2,850","2,125",725,0,0,0,0,0,0,0,0,0
21320 Chemical engineers,70,45,25,35,25,10,120,85,35,240,210,30,"1,890","1,250",635,"4,515","3,050","1,460",130,55,75,250,175,65,"3,715","2,735",985,"1,115",775,340,0,0,0,0,0,0,0,0,0
21321 Industrial and manufacturing engineers,75,75,0,45,30,15,410,300,110,135,100,35,"4,715","3,540","1,170","7,740","6,060","1,680",435,360,75,275,220,55,"1,850","1,435",415,"1,410","1,120",295,0,0,0,0,0,0,0,0,0
21322 Metallurgical and materials engineers,40,25,15,0,0,0,45,35,10,25,15,10,625,510,115,"1,075",890,185,25,20,0,35,30,10,655,530,125,325,235,90,0,0,0,0,0,0,0,0,0
2133 Natural resources engineers,395,300,100,10,10,0,145,140,10,100,85,20,"1,435","1,145",290,"2,385","2,010",380,200,170,30,500,400,95,"5,895","4,830","1,065","2,090","1,705",380,20,10,15,20,20,0,0,0,0
21330 Mining engineers,60,45,15,10,10,0,50,50,0,15,10,0,645,540,105,"1,185","1,000",190,85,75,15,180,135,45,550,455,95,755,650,110,10,0,0,20,20,0,0,0,0
21331 Geological engineers,40,30,0,0,0,0,55,50,0,70,55,10,695,525,170,910,750,160,100,80,20,135,110,20,740,585,155,"1,160",910,250,10,0,0,0,0,0,0,0,0
21332 Petroleum engineers,295,220,75,0,0,0,40,30,0,20,20,0,95,80,15,290,260,30,15,15,0,185,150,30,"4,610","3,795",810,170,150,20,0,0,0,0,0,0,0,0,0
2139 Other engineers,610,555,60,70,60,0,615,535,80,125,105,20,"4,175","3,265",910,"4,125","3,455",670,225,170,55,75,50,25,415,355,65,"1,930","1,675",260,0,0,0,10,0,0,0,0,0
21390 Aerospace engineers,15,10,0,15,10,0,70,60,10,10,10,0,"2,855","2,405",445,"2,275","2,020",255,155,130,25,0,0,0,145,140,0,240,210,35,0,0,0,10,0,0,0,0,0
21399 Other professional engineers,600,550,55,55,50,0,545,475,70,110,90,20,"1,320",865,460,"1,855","1,440",415,70,35,30,75,45,25,275,215,60,"1,690","1,465",225,0,0,0,0,0,0,0,0,0
22 Technical occupations related to natural and applied sciences,"7,350","5,840","1,510","2,155","1,590",565,"13,140","10,480","2,655","11,495","9,300","2,190","138,815","105,930","32,890","213,390","168,175","45,215","17,930","14,410","3,515","13,680","11,045","2,635","73,180","57,975","15,210","73,135","56,725","16,405",770,580,190,615,505,115,235,200,40
221 Technical occupations related to natural sciences,"1,495","1,030",465,610,370,235,"1,945","1,300",645,"1,990","1,435",550,"19,275","10,595","8,675","23,765","15,535","8,235","2,150","1,400",740,"1,970","1,255",715,"8,990","5,975","3,015","13,000","8,705","4,290",200,150,50,140,95,45,75,65,15
2210 Technical occupations in physical sciences,535,385,150,125,65,60,340,235,105,465,325,140,"6,545","3,535","3,010","6,895","4,115","2,780",475,315,160,600,390,215,"3,670","2,545","1,120","2,115","1,430",685,45,40,10,40,25,10,0,0,0
22100 Chemical technologists and technicians,80,45,35,120,60,60,215,115,100,330,200,135,"4,645","2,040","2,605","4,935","2,490","2,450",275,155,120,245,105,145,"1,505",825,680,950,515,435,0,0,0,10,0,0,0,0,0
22101 Geological and mineral technologists and technicians,455,335,120,0,0,0,130,115,10,135,125,10,"1,900","1,495",405,"1,960","1,620",340,195,160,40,360,290,75,"2,160","1,720",440,"1,160",915,245,40,30,10,30,25,0,0,0,0
2211 Technical occupations in life sciences,965,645,320,485,305,185,"1,610","1,065",540,"1,525","1,110",410,"12,730","7,060","5,670","16,875","11,425","5,445","1,675","1,090",585,"1,370",865,505,"5,320","3,430","1,890","10,885","7,275","3,610",155,115,45,105,70,35,75,60,15
